sub,Effort1_Risk2,run,trial,RT,dur,StrTime,reward,loss,effort_risk,response
19,1,1,1,0,3.933481,0.066762,2,5,3,0
19,1,1,2,1.513729,5.231855,4.018278,4,3,5,1
19,1,1,3,0.880674,4.729747,9.27033,4,1,1,4
19,1,1,4,0.721892,7.228064,14.022112,10,3,1,4
19,1,1,5,1.452843,4.491915,21.258217,12,6,1,1
19,1,1,6,0.704062,4.740227,25.759946,10,1,2,4
19,1,1,7,1.51918,5.488326,30.511764,2,2,5,2
19,1,1,8,1.691142,4.486265,36.013873,2,2,2,2
19,1,1,9,0.998357,7.234591,40.51564,12,5,1,4
19,1,1,10,1.376592,7.731899,47.768379,4,2,2,2
19,1,1,11,1.27262,3.97884,55.521391,10,4,4,4
19,1,1,12,1.568014,5.727369,59.522886,8,5,4,1
19,1,1,13,1.36161,9.991844,65.258415,8,4,4,2
19,1,1,14,1.299725,4.487841,75.262291,4,3,2,2
19,1,1,15,1.476036,4.736191,79.763976,2,5,3,1
19,1,1,16,1.012174,3.98433,84.515838,12,2,3,4
19,1,1,17,1.541671,8.732835,88.517331,4,6,4,1
19,1,1,18,1.576444,4.229522,97.270686,12,6,4,3
19,1,1,19,1.736693,5.477766,101.522319,10,6,2,3
19,1,1,20,1.363317,4.992329,107.007749,6,6,3,2
19,1,1,21,1.816335,5.490552,112.009671,8,5,3,2
19,1,1,22,1.055244,6.73847,117.511775,10,4,1,4
19,1,1,23,1.814645,6.985794,124.264364,6,4,5,2
19,1,1,24,0.976964,4.733101,131.267051,10,1,5,4
19,1,1,25,1.549154,12.731387,136.018869,6,4,1,2
19,1,1,26,1.241923,4.743112,148.757088,2,2,3,2
19,1,1,27,0.79607,4.741206,153.508948,12,4,3,4
19,1,1,28,0,4.489496,158.260731,6,3,3,0
19,1,1,29,0.976482,6.237647,162.762498,8,1,3,4
19,1,1,30,1.241126,4.98526,169.014891,4,6,3,1
19,1,1,31,0.871221,4.73342,174.01681,8,3,3,4
19,1,1,32,1.116402,4.481437,178.76863,8,5,5,2
19,1,1,33,1.299577,4.229892,183.270356,2,1,4,2
19,1,1,34,0.68107,6.97821,187.521944,12,3,2,4
19,1,1,35,1.279057,4.492262,194.507955,6,2,5,4
19,1,1,36,1.019408,4.990484,199.009681,6,1,5,4
19,1,2,1,1.363693,4.968893,0.03128,4,4,3,1
19,1,2,2,0.567407,4.983604,5.016566,8,3,5,4
19,1,2,3,0.712533,5.481728,10.01844,10,3,4,4
19,1,2,4,0.763404,7.97959,15.520569,12,3,2,4
19,1,2,5,0.846039,5.743281,23.506944,8,3,3,4
19,1,2,6,1.646832,4.240991,29.259148,6,3,1,3
19,1,2,7,1.38024,4.989365,33.51078,2,6,4,1
19,1,2,8,0.676375,10.487413,38.512694,8,1,4,4
19,1,2,9,1.216265,4.233468,49.016721,8,4,5,3
19,1,2,10,0.898627,4.481787,53.268351,12,3,5,4
19,1,2,11,1.956908,3.980001,57.770076,6,5,1,1
19,1,2,12,1.023365,4.478506,61.771612,4,6,2,1
19,1,2,13,1.391309,5.493562,66.256666,4,4,3,2
19,1,2,14,1.734216,4.491448,71.758771,2,6,1,2
19,1,2,15,0.861807,4.22296,76.277171,12,6,1,4
19,1,2,16,0,4.238009,80.512126,6,5,1,0
19,1,2,17,0.897185,5.736465,84.763754,12,5,4,4
19,1,2,18,0.889027,6.984192,90.515959,10,4,3,4
19,1,2,19,0.734345,4.73143,97.518644,8,1,3,4
19,1,2,20,1.345616,4.729675,102.270464,2,5,3,1
19,1,2,21,0.838674,6.477948,107.02229,12,2,4,4
19,1,2,22,0.780879,5.991999,113.508109,8,2,5,4
19,1,2,23,1.043579,7.489734,119.510413,2,2,2,1
19,1,2,24,0.645674,4.23689,127.013325,6,1,5,4
19,1,2,25,1.763066,4.235263,131.264915,10,5,1,3
19,1,2,26,1.024404,6.233635,135.51654,2,1,2,1
19,1,2,27,0.707992,5.481141,141.768937,10,2,4,4
19,1,2,28,0.785995,8.479124,147.271046,10,2,5,4
19,1,2,29,0.915431,5.242512,155.757634,4,4,4,1
19,1,2,30,1.801364,5.240514,161.009646,6,2,2,4
19,1,2,31,0.70636,7.738492,166.261658,10,1,3,4
19,1,2,32,0.752478,4.735514,174.014633,12,1,2,4
19,1,2,33,1.117499,6.983757,178.766451,4,5,3,1
19,1,2,34,1.020859,4.231005,185.769134,4,6,5,1
19,1,2,35,1.193232,8.229382,190.020765,2,4,3,1
19,1,2,36,1.747737,5.742856,198.257255,6,6,3,3
19,1,3,1,1.256781,4.225027,0.025163,2,3,3,1
19,1,3,2,0.916843,7.240033,4.260117,8,2,1,4
19,1,3,3,0.776133,3.9872,11.5129,10,1,1,4
19,1,3,4,0.955561,3.985664,15.514473,2,6,1,1
19,1,3,5,0.989028,5.48426,19.516007,10,5,5,4
19,1,3,6,0.806955,5.232074,25.018073,8,3,5,4
19,1,3,7,1.84994,5.729998,30.270086,12,5,4,4
19,1,3,8,1.20174,5.477855,36.02229,2,4,3,1
19,1,3,9,0.573362,3.992441,41.507769,10,2,3,4
19,1,3,10,1.471784,3.990868,45.509261,6,5,1,2
19,1,3,11,1.124242,6.489379,49.510797,2,2,5,1
19,1,3,12,1.80475,4.486945,56.013287,8,6,5,3
19,1,3,13,1.727026,4.485039,60.515014,8,5,2,3
19,1,3,14,1.013298,5.483468,65.016737,2,5,2,1
