"","subjID","trial","block","cost_one","amount_one","cost_two","amount_two","choice","trial_onset","fix_dura","choice_rt","feedback_onset"
"1",301,1,1,0.5,4,0,0.94,1,10.0169568521865,3.8,0.868817262917673,16.7572973007141
"2",301,2,1,0.1,4,0,4,0,17.8965768695361,5.6,0.277328634113474,25.8357560229497
"3",301,3,1,0.1,4,0,1.86,1,27.5660320191637,5.9,0.298242453833609,35.8263631134942
"4",301,4,1,0.1,3,0,0.44,1,37.5364035482744,4,0.299497843952395,43.9001475024138
"5",301,5,1,0.3,2,0,1.42,0,45.6106572271442,2,0.56614973667638,50.2503191803703
"6",301,6,1,0.3,3,0,2.3,0,51.6962441793034,4.5,0.24233374573987,58.5040885109288
"7",301,7,1,0.5,3,0,0.31,1,60.2685247072468,4.8,0.26875145171789,67.3996221188836
"8",301,8,1,0.7,2,0,0.41,0,69.1383168923844,5.4,0.934071872466575,77.543417220887
"9",301,9,1,0.1,2,0,1.74,1,78.6158747201248,4.1,0.333253143215643,85.1095827585718
"10",301,10,1,0.5,4,0,1.56,1,86.7812757260172,5.1,0.328485188924788,94.2614407201468
"11",301,11,1,0.1,4,0,4,1,95.9394931984561,3.1,0.421346135310614,101.524374240564
"12",301,12,1,0.7,4,0,1.55,0,103.109554316757,2.3,0.299281370136669,107.772504191218
"13",301,13,1,0.7,3,0,1.04,1,109.483813051949,5.4,0.680024444160154,117.635261767406
"14",301,14,1,0.5,3,0,0.1,1,118.962068889236,4.2,0.543895991442241,125.762593008686
"15",301,15,1,0.7,4,0,0.77,1,127.225630894764,4.1,0.586015554512869,133.977730453758
"16",301,16,1,0.5,4,0,0.21,1,135.402810762383,5.1,0.464998001172717,143.036438310493
"17",301,17,1,0.3,2,0,1.77,0,144.591946858049,4.6,0.523869398345141,151.776283397407
"18",301,18,1,0.7,3,0,1.39,0,153.259901306902,5.1,0.301640855719143,160.727323182766
"19",301,19,1,0.5,2,0,0.53,1,162.432133088734,5.6,0.507687585622079,170.598272001719
"20",301,20,1,0.5,3,0,0.2,1,172.098101745853,4.4,0.271720461199948,178.836461537976
"21",301,21,1,0.1,2,0,2,0,180.571798597186,5.1,0.272700123721734,188.004364633551
"22",301,22,1,0.3,3,0,1.84,0,189.741751873605,2.7,0.321151150866626,194.828237508118
"23",301,23,1,0.5,2,0,1.07,0,196.512918114434,6,0.33679612432843,204.899818841438
"24",301,24,1,0.3,4,0,1.37,1,206.56998543147,5.7,0.312729213378134,214.642500999414
"25",301,25,1,0.3,4,0,0.55,1,216.336222547723,2.6,0.247819065813019,221.249838829714
"26",301,26,1,0.3,3,0,2.75,0,223.008645126732,5.1,0.808950402214577,230.976976745656
"27",301,27,1,0.7,4,0,1.16,0,232.177075580964,2.3,0.702367465091811,237.239188950039
"28",301,28,1,0.5,2,0,0.8,0,238.545566553058,2.3,1.05606039777467,243.966849484334
"29",301,29,1,0.1,3,0,0.88,1,244.916853513591,4.8,0.279643481846961,252.054783676294
"30",301,30,1,0.7,3,0,0.7,0,253.781745806018,6,0.394242665566708,262.245856580567
"31",301,31,1,0.1,4,0,2.79,1,263.859087396958,3,0.259443077657124,269.189706907095
"32",301,32,1,0.5,4,0,0.62,1,270.937687538219,4.8,0.705451821935185,278.52437463559
"33",301,33,1,0.3,3,0,1.38,1,279.825375550468,5.4,0.847494197079868,288.139689604991
"34",301,34,1,0.5,4,0,1.25,1,289.298669081061,5.3,0.353186115337849,297.0190473256
"35",301,35,1,0.7,2,0,0.32,1,298.672280764958,2.6,0.685441819897278,304.018411730037
"36",301,36,1,0.3,4,0,0.18,1,305.33993183445,2.4,0.245208344196726,310.050080506138
"37",301,37,1,0.5,3,0,0.15,1,311.813695445043,4.4,0.547824517160734,318.824782617627
"38",301,38,1,0.1,2,0,2,0,320.283340127767,3,0.24279434513528,325.583203370039
"39",301,39,1,0.7,2,0,0.24,1,327.350055540545,5.8,0.51514092129355,335.72705970095
"40",301,40,1,0.1,4,0,3.72,1,337.219256372942,5.1,0.283372519833847,344.662789889251
"41",301,41,1,0.3,2,0,0.71,1,346.385817962902,5.6,1.0043409320383,355.053494709032
"42",301,42,1,0.1,2,0,0.39,1,356.055730946749,2.3,0.27292528809221,360.692805879871
"43",301,43,1,0.3,2,0,1.06,0,362.430136236295,6,0.943076472140092,371.435308696401
"44",301,44,1,0.7,2,0,0.16,1,372.498792012907,4.8,0.312263478655495,379.675290462038
"45",301,45,1,0.1,3,0,0.66,1,381.36952475307,5.2,0.318355952477305,388.953990228656
"46",301,46,1,0.7,3,0,0.23,1,390.642852176826,2.8,0.312542366453727,395.816957958257
"47",301,47,1,0.3,4,0,0.82,1,397.513659181729,3.3,0.206157731986423,403.081037051785
"48",301,48,1,0.5,3,0,0.26,1,404.881808457016,3.9,0.328620682572364,411.167868728382
"49",301,49,1,0.3,4,0,1.09,1,412.846030628675,3.3,0.637455737425171,418.848650040846
"50",301,50,1,0.5,2,0,1.34,0,420.218104479428,5.8,0.314405305346554,428.398721856429
"51",301,51,1,0.7,2,0,0.49,0,430.090850663089,4.1,0.382557819840258,436.637485759341
"52",301,52,1,0.1,2,0,1.16,1,438.261520120214,3.2,0.144574881769131,443.646121405468
"53",301,53,1,0.1,3,0,1.1,1,445.509115996783,3.7,0.264126891578599,451.540117180279
"54",301,54,1,0.7,3,0,1.74,0,453.282780377044,4.7,0.334752658914567,460.379572219299
"55",301,55,1,0.7,4,0,1.94,0,462.05165073135,5.5,0.351867126159959,469.96625023109
"56",301,56,1,0.3,3,0,0.92,0,471.624639934521,4.6,0.687206792537381,478.977636042732
"57",301,57,2,0.1,4,0,4,0,480.298537537666,5.8,0.383815975135349,488.553203575452
"58",301,58,2,0.5,3,0,0.31,1,490.175801229635,4.8,0.406975908202639,497.449113642433
"59",301,59,2,0.3,4,0,0.82,1,499.049258458675,5.7,0.276054282784116,507.087141376363
"60",301,60,2,0.3,2,0,0.71,1,508.818701599536,5.6,0.441640950525652,516.918855106333
"61",301,61,2,0.7,3,0,1.39,1,518.482973623377,4.3,0.61851348853088,525.445741312211
"62",301,62,2,0.7,3,0,1.04,1,526.834089806612,5.4,0.280759033041249,534.572323585691
"63",301,63,2,0.5,2,0,1.34,1,536.298168584119,4.3,0.467211722451793,543.123910322957
"64",301,64,2,0.1,2,0,2,0,544.664004196748,5.9,0.248192759661833,552.874375662655
"65",301,65,2,0.7,2,0,0.24,0,554.633649274497,4.8,0.661029261887506,562.162439501889
"66",301,66,2,0.7,2,0,0.16,1,563.508640781455,5.4,0.477293555874894,571.449538294534
"67",301,67,2,0.3,4,0,1.37,1,572.982088766905,2.8,0.996557750315787,578.841627282653
"68",301,68,2,0.5,4,0,0.62,1,579.851493037286,5.7,0.314601632876474,587.954496255951
"69",301,69,2,0.5,2,0,0.53,1,589.664892213421,3.1,0.465771460534597,595.295076326771
"70",301,70,2,0.5,4,0,1.25,1,596.836074413269,4.1,0.380764010359144,603.382883715639
"71",301,71,2,0.7,2,0,0.32,1,605.009155499304,3.6,0.44107013909661,611.117336313403
"72",301,72,2,0.1,2,0,2,0,612.683442597307,3.7,0.0169292004211457,618.46660733388
"73",301,73,2,0.3,4,0,1.64,1,620.456559472625,4.5,0.332719859181452,627.349607581956
"74",301,74,2,0.1,3,0,1.1,1,629.023510715454,2.4,0.263617704081753,633.755287412443
"75",301,75,2,0.1,3,0,0.88,1,635.500762793682,3.8,0.401711407222137,641.770743168829
"76",301,76,2,0.1,3,0,0.44,1,643.37791350844,2.5,0.262601699240349,648.202215380385
"77",301,77,2,0.5,2,0,0.18,1,649.946190455875,4.6,0.490176118039926,657.102593182497
"78",301,78,2,0.7,4,0,1.55,0,658.618512303455,2.4,0.467615438217308,663.552677796897
"79",301,79,2,0.7,4,0,1.94,0,665.093844954185,5.6,0.867262048664088,673.623196117376
"80",301,80,2,0.1,3,0,0.66,1,674.762927990064,5.1,0.184550247996867,682.111103605632
"81",301,81,2,0.7,4,0,1.16,1,683.934720503863,5.3,0.544287856450865,691.846183108406
"82",301,82,2,0.3,4,0,0.55,1,693.311716368739,5.2,0.41248295466221,700.989298767047
"83",301,83,2,0.3,2,0,1.77,0,702.584496682578,2.5,0.704963570774908,707.860516993195
"84",301,84,2,0.7,3,0,0.7,1,709.161883306393,4,0.271144119417386,715.492170205303
"85",301,85,2,0.1,2,0,2,0,717.226898135639,5.1,0.0596168097449663,724.4669727322
"86",301,86,2,0.3,3,0,2.3,1,726.413320408109,2.4,0.99479159259954,731.874414770151
"87",301,87,2,0.5,3,0,0.1,1,732.886410105693,5.9,0.311466712805668,741.177532230107
"88",301,88,2,0.7,4,0,0.77,1,742.873024676435,4.9,0.436511548166891,750.272782683991
"89",301,89,2,0.5,3,0,0.2,1,751.844386928774,2.7,0.333249983013957,756.944372944881
"90",301,90,2,0.3,3,0,0.31,1,758.620299397508,4.8,0.283198313716639,765.766601724522
"91",301,91,2,0.5,3,0,0.26,1,767.491112327789,4.5,0.748099928737702,774.814477199935
"92",301,92,2,0.3,3,0,1.38,1,776.075432039073,3.5,0.310372097947493,781.949660357324
"93",301,93,2,0.5,4,0,1.56,1,783.646194485132,4.7,0.287845785318041,790.693990955503
"94",301,94,2,0.5,2,0,1.07,1,792.411683423636,2.5,0.504122878121962,797.479089340482
"95",301,95,2,0.3,2,0,1.42,1,798.981490698737,5.9,0.819418175268311,807.771343212124
"96",301,96,2,0.7,2,0,0.41,1,808.959022849838,4,0.516496647815984,815.539249704916
"97",301,97,2,0.3,4,0,1.09,1,817.029511938452,2.2,0.924517397700129,822.210007252663
"98",301,98,2,0.7,3,0,1.74,0,823.294432040653,4.2,1.09602509832166,830.649354291791
"99",301,99,2,0.3,3,0,0.92,1,831.559911103527,2.4,0.31477386386814,836.352714850262
"100",301,100,2,0.1,4,0,0.62,1,838.039724130194,5.4,0.243179099690224,845.743463517842
